"Mun","entrada/abril/202002.zip","entrada/maio/202002.zip","Diff","Percent"
"LIMEIRA DO OESTE - MG",1252438.57,1252438.57,0.00,0.00
"BARRA BONITA - SP",2905244.01,2905244.01,-0.00,-0.00
"BURITAMA - SP",2491858.91,2491858.91,-0.00,-0.00
"BIRITIBA-MIRIM - SP",2858110.34,2858110.34,0.00,0.00
"CENTENARIO DO SUL - PR",1558981.23,1558981.23,0.00,0.00
"SAO MIGUEL DO IGUACU - PR",7235892.44,7235892.44,0.00,0.00
"MENDONCA - SP",1024391.93,1024391.93,-0.00,-0.00
"ITATINGA - SP",2014901.23,2014901.23,-0.00,-0.00
"CONCHAS - SP",2092610.80,2092610.80,-0.00,-0.00
"TACIBA - SP",1106487.92,1106487.92,-0.00,-0.00
"PENAPOLIS - SP",5703460.53,5703460.53,-0.00,-0.00
"SANTA CLARA D'OESTE - SP",1051924.36,1051924.36,0.00,0.00
"CHAVANTES - SP",1331169.57,1331169.57,0.00,0.00
"APARECIDA D'OESTE - SP",1008056.11,1008056.11,0.00,0.00
"CONCEICAO DA APARECIDA - MG",1479820.78,1479820.78,0.00,0.00
"PORECATU - PR",1866634.32,1866634.32,0.00,0.00
"RIBEIRAO VERMELHO - MG",1009821.14,1009821.14,0.00,0.00
"SANDOVALINA - SP",1006568.02,1006568.02,0.00,0.00
"IBIPORA - PR",5139821.94,5139821.94,-0.00,-0.00
"CARRANCAS - MG",1091003.54,1091003.54,0.00,0.00
"ANDRADINA - SP",10297869.38,10297869.38,-0.00,-0.00
"ALTEROSA - MG",1986110.31,1986110.31,-0.00,-0.00
"TUPACIGUARA - MG",3616248.53,3616248.53,-0.00,-0.00
"FLORESTOPOLIS - PR",1637865.72,1637865.72,0.00,0.00
"MEDIANEIRA - PR",4551211.36,4551211.36,-0.00,-0.00
"AURIFLAMA - SP",1725892.77,1725892.77,-0.00,-0.00
"TAGUAI - SP",1815904.65,1815904.65,-0.00,-0.00
"ITAPORANGA - SP",1817837.65,1817837.65,0.00,0.00
"PEDRINOPOLIS - MG",1337298.34,1337298.34,0.00,0.00
"PERDOES - MG",2482650.61,2482650.61,-0.00,-0.00
"SALESOPOLIS - SP",2089702.91,2089702.91,0.00,0.00
"PIRAJU - SP",2954896.36,2954896.36,-0.00,-0.00
"NANTES - SP",985801.46,985801.46,0.00,0.00
"PRIMEIRO DE MAIO - PR",1734814.15,1734814.15,-0.00,-0.00
"CRUZALIA - SP",920908.32,920908.32,-0.00,-0.00
"ALFENAS - MG",13208723.13,13208723.13,0.00,0.00
"GUAIRA - SP",3773612.07,3773612.07,-0.00,-0.00
"CAJAMAR - SP",5432841.86,5432841.86,0.00,0.00
"MAIRINQUE - SP",3664721.62,3664721.62,-0.00,-0.00
"CACHOEIRA DOURADA - GO",1287567.55,1287567.55,0.00,0.00
"IRAPUA - SP",994113.56,994113.56,-0.00,-0.00
"SANTA MARIANA - PR",1496077.99,1496077.99,0.00,0.00
"NOVA ODESSA - SP",3841841.31,3841841.31,0.00,0.00
"MINEIROS DO TIETE - SP",1473483.92,1473483.92,-0.00,-0.00
"TRES PONTAS - MG",5643182.60,5643182.60,-0.00,-0.00
"BOTUCATU - SP",9489120.71,9489120.71,-0.00,-0.00
"NOVA CANAA PAULISTA - SP",930699.90,930699.90,0.00,0.00
"CACHOEIRA DO SUL - RS",7683765.60,7683765.60,0.00,0.00
"PAULINIA - SP",6197347.44,6197347.44,0.00,0.00
"SUZANAPOLIS - SP",1023352.98,1023352.98,-0.00,-0.00
"TIMBURI - SP",969202.81,969202.81,0.00,0.00
"JABOATAO DOS GUARARAPES - PE",35036918.13,35036918.13,-0.00,-0.00
"TRES RANCHOS - GO",1516608.51,1516608.51,-0.00,-0.00
"MIGUELOPOLIS - SP",2309054.93,2309054.93,0.00,0.00
