"Mun","./backup/201805.zip","novo/201805.zip","Diff","Percent"
"TARTARUGALZINHO - AP",1773431.68,1772021.68,-1410.00,-0.08
"CONTENDA - PR",2212866.20,2188796.20,-24070.00,-1.09
"OLIVEIRA DE FATIMA - TO",777501.26,776181.26,-1320.00,-0.17
"OCAUCU - SP",1054924.45,1050424.45,-4500.00,-0.43
"MONTE AZUL - MG",2488534.87,2468434.87,-20100.00,-0.81
"CAMPO BELO DO SUL - SC",917323.90,909183.90,-8140.00,-0.89
"ITAPOA - SC",2365217.46,2356587.46,-8630.00,-0.36
"MAETINGA - BA",1570964.61,1566514.61,-4450.00,-0.28
"POTIM - SP",2123685.33,2117405.33,-6280.00,-0.30
"LAVINIA - SP",1016346.22,1013866.22,-2480.00,-0.24
"PANAMBI - RS",3454782.46,3421542.46,-33240.00,-0.96
"SAO JOSE DO CALCADO - ES",3138406.54,3130686.54,-7720.00,-0.25
"SERRA DA RAIZ - PB",1162864.47,1157574.47,-5290.00,-0.45
"SAO JOSE DO JACURI - MG",1128466.95,1119366.95,-9100.00,-0.81
"SANTO ANASTACIO - SP",2190750.43,2176080.43,-14670.00,-0.67
"MONTE ALEGRE DO SUL - SP",926501.22,921551.22,-4950.00,-0.53
"JARDIM DE PIRANHAS - RN",2001175.42,1999365.42,-1810.00,-0.09
"UMBUZEIRO - PB",1464236.63,1457766.63,-6470.00,-0.44
"IBIAPINA - CE",4239707.65,4230627.65,-9080.00,-0.21
"IMIGRANTE - RS",846428.32,844638.32,-1790.00,-0.21
"PALMEIRA DAS MISSOES - RS",2715439.34,2594406.86,-121032.48,-4.46
"ALTO ARAGUAIA - MT",1857026.92,1849856.92,-7170.00,-0.39
"MATERLANDIA - MG",892186.59,886156.59,-6030.00,-0.68
"BANABUIU - CE",3310786.50,3302096.50,-8690.00,-0.26
"HORIZONTINA - RS",2125831.93,2117931.93,-7900.00,-0.37
"BACABEIRA - MA",3145227.96,3140467.96,-4760.00,-0.15
"NOSSA SENHORA DA GLORIA - SE",3771642.47,3749352.47,-22290.00,-0.59
"IPIRA - SC",1177930.47,1175990.47,-1940.00,-0.16
"HELIOPOLIS - BA",2307959.13,2300839.13,-7120.00,-0.31
"TRES DE MAIO - RS",2169822.68,2142193.34,-27629.34,-1.27
"CARIRI DO TOCANTINS - TO",970482.71,967212.71,-3270.00,-0.34
"VIAMAO - RS",10632463.01,10452253.85,-180209.16,-1.69
"PORTO UNIAO - SC",2578755.22,2506142.27,-72612.95,-2.82
"SAO PEDRO DO IVAI - PR",1309736.94,1299866.94,-9870.00,-0.75
"AMERICA DOURADA - BA",2732995.70,2725745.70,-7250.00,-0.27
"SAO PEDRO DOS CRENTES - MA",1377817.78,1374607.78,-3210.00,-0.23
"PENTECOSTE - CE",5495362.98,5484112.98,-11250.00,-0.20
"PATO BRAGADO - PR",2415584.29,2410404.29,-5180.00,-0.21
"MAE DO RIO - PA",4356235.95,4337005.95,-19230.00,-0.44
"ANALANDIA - SP",1152894.01,1150644.01,-2250.00,-0.20
"SOBRAL - CE",33686149.06,33576939.06,-109210.00,-0.32
"ACARAU - CE",8758907.89,8741317.89,-17590.00,-0.20
"CAPINZAL DO NORTE - MA",2818407.95,2813347.95,-5060.00,-0.18
"PORTO RICO - PR",817624.74,814504.74,-3120.00,-0.38
