"Mun","entrada/marco/201408.zip","entrada/abril/201408.zip","Diff","Percent"
"TARTARUGALZINHO - AP",1013310.99,962550.30,-50760.69,-5.01
"OLIVEIRA DE FATIMA - TO",454817.45,453745.45,-1072.00,-0.24
"PAQUETA - PI",673184.60,672103.60,-1081.00,-0.16
"MONTE AZUL - MG",1433649.49,1425713.72,-7935.77,-0.55
"ITAPOA - SC",2097159.82,2071609.82,-25550.00,-1.22
"BAIXA GRANDE DO RIBEIRO - PI",1687362.96,1685597.96,-1765.00,-0.10
"PANAMBI - RS",2615718.71,2610414.71,-5304.00,-0.20
"JARDIM DE PIRANHAS - RN",1402971.45,1401659.45,-1312.00,-0.09
"PALMEIRA DAS MISSOES - RS",1688004.06,1641991.56,-46012.50,-2.73
"ALTO ARAGUAIA - MT",1261473.24,1240773.24,-20700.00,-1.64
"SAO DOMINGOS DO AZEITAO - MA",782425.96,773318.32,-9107.64,-1.16
"BACABEIRA - MA",1574465.64,1572958.64,-1507.00,-0.10
"TRES DE MAIO - RS",1544001.72,1494443.20,-49558.52,-3.21
"VIAMAO - RS",8406980.57,8499090.69,92110.12,1.10
"PORTO UNIAO - SC",1724580.77,1687422.80,-37157.97,-2.15
"AMERICA DOURADA - BA",1657426.70,1656865.19,-561.51,-0.03
"HIDROLINA - GO",567053.10,565201.10,-1852.00,-0.33
"MAE DO RIO - PA",3652047.95,3650216.95,-1831.00,-0.05
"VESPASIANO - MG",6070614.43,6042664.43,-27950.00,-0.46
"ITAPEMIRIM - ES",35259917.91,35254404.59,-5513.32,-0.02
"NOVO CRUZEIRO - MG",2252694.52,2158476.23,-94218.29,-4.18
"COQUEIRO BAIXO - RS",436265.08,435088.08,-1177.00,-0.27
"CARMO DO PARANAIBA - MG",2529362.96,2522712.96,-6650.00,-0.26
"SAO MIGUEL ARCANJO - SP",1923361.38,1831081.38,-92280.00,-4.80
"DOIS IRMAOS - RS",1689432.81,1663132.81,-26300.00,-1.56
"LARANJEIRAS - SE",2832462.50,2827112.50,-5350.00,-0.19
"NOVA HARTZ - RS",1250476.99,1249869.27,-607.72,-0.05
"CANGUCU - RS",2781521.92,2713032.92,-68489.00,-2.46
"TRES COROAS - RS",1413030.05,1387706.27,-25323.78,-1.79
"BETIM - MG",20483940.29,20480924.29,-3016.00,-0.01
"BOA VENTURA DE SAO ROQUE - PR",1251648.48,1250237.48,-1411.00,-0.11
"PLANALTO - RS",832007.67,769930.89,-62076.78,-7.46
"VISTA GAUCHA - RS",591484.39,571204.39,-20280.00,-3.43
"MARMELEIRO - PR",1161119.25,1158364.25,-2755.00,-0.24
"PORTO XAVIER - RS",1019279.64,1015881.64,-3398.00,-0.33
"FILADELFIA - BA",1869439.07,1868896.50,-542.57,-0.03
"COLORADO DO OESTE - RO",1068253.22,1065573.22,-2680.00,-0.25
"SANTA RITA DO SAPUCAI - MG",2016446.38,1988967.21,-27479.17,-1.36
"SANTO EXPEDITO DO SUL - RS",458172.07,456824.07,-1348.00,-0.29
"QUEVEDOS - RS",481267.11,479910.11,-1357.00,-0.28
"GUARANI DAS MISSOES - RS",1067593.06,1043659.06,-23934.00,-2.24
"UPANEMA - RN",2074711.31,2048912.07,-25799.24,-1.24
"COLINAS - MA",4567342.11,4565433.11,-1909.00,-0.04
"ACORIZAL - MT",466554.17,466200.45,-353.72,-0.08
"SANANDUVA - RS",1347947.26,1340921.75,-7025.51,-0.52
"MAJOR ISIDORO - AL",2396544.31,2395271.31,-1273.00,-0.05
"PRAIA GRANDE - SP",13506181.65,13396787.65,-109394.00,-0.81
"SAO MATEUS - ES",9620258.62,9619911.01,-347.61,-0.00
"GLORIA DE DOURADOS - MS",677898.08,674521.08,-3377.00,-0.50
"AURORA - CE",2423537.18,2379702.18,-43835.00,-1.81
"BORBA - AM",3111707.17,3069422.85,-42284.32,-1.36
"JAGUAPITA - PR",821491.71,818472.71,-3019.00,-0.37
"TRIUNFO - PB",1317948.97,1301917.97,-16031.00,-1.22
"TRIUNFO - PE",1789755.07,1763044.07,-26711.00,-1.49
"FERRAZ DE VASCONCELOS - SP",6107863.28,5913813.28,-194050.00,-3.18
"ASTORGA - PR",1942636.38,1931286.38,-11350.00,-0.58
"GUIMARAES - MA",1599465.18,1598716.19,-748.99,-0.05
"SAO FELIX DO PIAUI - PI",573119.21,571849.21,-1270.00,-0.22
"BERIZAL - MG",628228.66,613778.66,-14450.00,-2.30
"ILHA SOLTEIRA - SP",2568373.37,2501373.37,-67000.00,-2.61
"CAFELANDIA - PR",1267956.15,1263106.15,-4850.00,-0.38
"IVATE - PR",585167.36,582703.36,-2464.00,-0.42
"VARZEA GRANDE - PI",599939.29,598732.29,-1207.00,-0.20
"BOM SUCESSO - PR",650951.72,648478.72,-2473.00,-0.38
"LIZARDA - TO",721620.45,720290.45,-1330.00,-0.18
"ITAMBACURI - MG",2575980.84,2537115.84,-38865.00,-1.51
"POCO FUNDO - MG",1256052.97,1233368.84,-22684.13,-1.81
"CAMPINAPOLIS - MT",1617348.91,1596948.91,-20400.00,-1.26
"PONTE NOVA - MG",6252816.94,6241408.94,-11408.00,-0.18
"TALISMA - TO",491002.89,489873.89,-1129.00,-0.23
"AXIXA DO TOCANTINS - TO",1223848.05,1220792.35,-3055.70,-0.25
"SAO JOSE DO RIO PRETO - SP",21527324.66,21274007.66,-253317.00,-1.18
"PASSA E FICA - RN",1375618.39,1373531.75,-2086.64,-0.15
"BRAUNAS - MG",598849.99,576649.99,-22200.00,-3.71
"CANDOI - PR",1961804.65,1942640.05,-19164.60,-0.98
"IGARACU DO TIETE - SP",1321536.40,1295664.40,-25872.00,-1.96
"BOM SUCESSO - PB",638878.48,636127.38,-2751.10,-0.43
"ARENOPOLIS - GO",605223.27,603674.27,-1549.00,-0.26
"NAZARE PAULISTA - SP",1133837.26,1106337.26,-27500.00,-2.43
"CASTANHEIRAS - RO",448755.35,447542.35,-1213.00,-0.27
"ITAPIRAPUA - GO",918840.44,917522.44,-1318.00,-0.14
"ASSIS - SP",4548633.43,4457937.43,-90696.00,-1.99
"PAI PEDRO - MG",776592.70,774194.70,-2398.00,-0.31
"GOIOERE - PR",1897223.24,1881826.24,-15397.00,-0.81
"GENERAL CARNEIRO - PR",1372470.00,1335804.00,-36666.00,-2.67
"CRICIUMA - SC",13748406.94,13648689.96,-99716.98,-0.73
"CORRENTE - PI",3347976.15,3308933.15,-39043.00,-1.17
"BELEM - PA",112587004.89,76946839.81,-35640165.08,-31.66
"SAO JOSE DO CAMPESTRE - RN",1528227.97,1478150.71,-50077.26,-3.28
"VARZEA GRANDE - MT",10794639.59,10631023.68,-163615.91,-1.52
"QUILOMBO - SC",1055781.43,1053032.43,-2749.00,-0.26
"SANTO HIPOLITO - MG",579795.66,578153.66,-1642.00,-0.28
"ROSARIO DA LIMEIRA - MG",552838.09,551634.09,-1204.00,-0.22
"BURITI DE GOIAS - GO",735475.71,733872.71,-1603.00,-0.22
"REGISTRO - SP",3654047.36,3524245.46,-129801.90,-3.55
"ITAU - RN",694490.77,693274.77,-1216.00,-0.18
"MORADA NOVA - CE",5168204.36,5162069.36,-6135.00,-0.12
"CUITE - PB",2017905.90,2016907.89,-998.01,-0.05
