"Mun","./backup/201701.zip","novo/201701.zip","Diff","Percent"
"MONTE AZUL - MG",1515690.10,1515690.10,-0.00,-0.00
"PALMEIRA DAS MISSOES - RS",2084275.18,1953897.70,-130377.48,-6.26
"TRES DE MAIO - RS",1581970.47,1568071.13,-13899.34,-0.88
"VIAMAO - RS",7506981.77,7413480.61,-93501.16,-1.25
"PORTO UNIAO - SC",1773988.33,1768192.33,-5796.00,-0.33
"HIDROLINA - GO",594846.55,594846.55,-0.00,-0.00
"COXILHA - RS",569581.74,559645.74,-9936.00,-1.74
"NOVO CRUZEIRO - MG",1972095.94,1955859.06,-16236.88,-0.82
"VILA LANGARO - RS",543861.79,534024.79,-9837.00,-1.81
"LARANJEIRAS - SE",2647531.87,2644759.87,-2772.00,-0.10
"CANGUCU - RS",2834361.74,2650644.20,-183717.54,-6.48
"TRES COROAS - RS",1640105.24,1603528.12,-36577.12,-2.23
"JURUA - AM",882619.31,882619.31,-0.00,-0.00
"SANTA RITA DO SAPUCAI - MG",2190765.52,2158684.68,-32080.84,-1.46
"GAROPABA - SC",1512165.69,1508025.69,-4140.00,-0.27
"COLINAS - MA",3297455.10,3288935.10,-8520.00,-0.26
"PRAIA GRANDE - SP",11609782.30,11609782.30,0.00,0.00
"SAO FELIX DO PIAUI - PI",578946.32,577056.32,-1890.00,-0.33
"LIZARDA - TO",559570.67,554107.67,-5463.00,-0.98
"SAO JOSE DO RIO PRETO - SP",17001995.79,16467653.86,-534341.93,-3.14
"PASSA E FICA - RN",1364877.33,1346247.33,-18630.00,-1.36
"GONGOGI - BA",805039.71,801449.71,-3590.00,-0.45
"SAO LUDGERO - SC",826447.36,819328.36,-7119.00,-0.86
"BOM SUCESSO - MG",1444688.94,1432202.55,-12486.39,-0.86
"PRATA DO PIAUI - PI",573339.86,570139.86,-3200.00,-0.56
"CRICIUMA - SC",13676143.80,13654090.80,-22053.00,-0.16
"BELEM - PA",88075878.57,60475988.52,-27599890.05,-31.34
"LAJINHA - MG",1443602.21,1437014.85,-6587.36,-0.46
"VARZEA GRANDE - MT",9402282.72,9379874.72,-22408.00,-0.24
"ARAMBARE - RS",574834.48,564988.48,-9846.00,-1.71
"QUILOMBO - SC",867605.14,865949.14,-1656.00,-0.19
"ITAIOPOLIS - SC",1390517.36,1386821.36,-3696.00,-0.27
