"Mun";"entrada/marco/201807.zip";"entrada/abril/201807.zip";"Diff";"Percent"
"PANAMBI - RS";3311310,61;3307418,61;-3892,00;-0,12
"PALMEIRA DAS MISSOES - RS";3172507,99;3085791,51;-86716,48;-2,73
"TRES DE MAIO - RS";2236062,17;2222162,83;-13899,34;-0,62
"VIAMAO - RS";10747846,97;10690307,81;-57539,16;-0,54
"PORTO UNIAO - SC";2680523,00;2640100,05;-40422,95;-1,51
"SAO PEDRO DO IVAI - PR";1351490,65;1348162,65;-3328,00;-0,25
"AMERICA DOURADA - BA";2253548,12;2249656,12;-3892,00;-0,17
"SOBRAL - CE";27989839,09;27967055,09;-22784,00;-0,08
"VESPASIANO - MG";7396318,31;7388778,31;-7540,00;-0,10
"ANDORINHA - BA";2454937,04;2451045,04;-3892,00;-0,16
"COXILHA - RS";784636,63;782185,63;-2451,00;-0,31
"NOVO CRUZEIRO - MG";3014658,85;2996775,26;-17883,59;-0,59
"GUARINOS - GO";811794,61;810414,61;-1380,00;-0,17
"CANGUCU - RS";3879600,34;3768156,48;-111443,86;-2,87
"TRES COROAS - RS";2261239,43;2228825,19;-32414,24;-1,43
"BETIM - MG";22053790,25;21990642,25;-63148,00;-0,29
"CUBATAO - SP";16061586,92;16052479,92;-9107,00;-0,06
"PLANALTO - RS";1165652,41;1165022,41;-630,00;-0,05
"PORTO XAVIER - RS";1348547,51;1343851,51;-4696,00;-0,35
"FILADELFIA - BA";3772254,34;3768362,34;-3892,00;-0,10
"SANTA RITA DO SAPUCAI - MG";3029032,01;2996951,17;-32080,84;-1,06
"MAJOR ISIDORO - AL";2753664,11;2750336,11;-3328,00;-0,12
"PRAIA GRANDE - SP";19431382,79;19412486,79;-18896,00;-0,10
"PRESIDENTE DUTRA - BA";2388293,33;2384401,33;-3892,00;-0,16
"MERUOCA - CE";2020206,01;2016314,01;-3892,00;-0,19
"PINHAIS - PR";7230433,95;7212804,68;-17629,27;-0,24
"BARRA DO QUARAI - RS";914535,20;911207,20;-3328,00;-0,36
"LIMEIRA - SP";14044950,31;14015506,31;-29444,00;-0,21
"JECEABA - MG";922952,70;919922,70;-3030,00;-0,33
"SAO JOSE DO RIO PRETO - SP";25740553,14;25202319,21;-538233,93;-2,09
"CANDOI - PR";2718432,25;2714540,25;-3892,00;-0,14
"PEDRA DO ANTA - MG";910940,74;907040,74;-3900,00;-0,43
"IBITITA - BA";4078448,53;4074556,53;-3892,00;-0,10
"BOM SUCESSO - MG";1925916,97;1913430,58;-12486,39;-0,65
"CRICIUMA - SC";18414160,83;18374666,83;-39494,00;-0,21
"BELEM - PA";129217484,63;86856848,15;-42360636,48;-32,78
"SAO JOSE DO CAMPESTRE - RN";1649546,57;1635297,57;-14249,00;-0,86
"VARZEA GRANDE - MT";12558014,25;12505598,25;-52416,00;-0,42
"MURICI - AL";3603680,77;3601229,77;-2451,00;-0,07
"REGISTRO - SP";4152810,84;4093691,94;-59118,90;-1,42
"BELA VISTA DE GOIAS - GO";2506933,66;2495221,66;-11712,00;-0,47
"PEDRA AZUL - MG";2566988,26;2557455,68;-9532,58;-0,37
"SEVERIANO MELO - RN";1287823,37;1274823,37;-13000,00;-1,01
"CUIABA - MT";75705109,70;48984876,30;-26720233,40;-35,30
"MESQUITA - RJ";11145734,94;11141842,94;-3892,00;-0,03
"ESMERALDA - RS";962710,23;959382,23;-3328,00;-0,35
"SAO JOAO DO TRIUNFO - PR";1577655,63;1573763,63;-3892,00;-0,25
"SAO JOSE DO OURO - RS";851124,50;830211,56;-20912,94;-2,46
"ITAJAI - SC";18279788,77;18268112,77;-11676,00;-0,06
"CORONEL FABRICIANO - MG";7289511,99;7282855,99;-6656,00;-0,09
"PORTO LUCENA - RS";873797,18;872180,69;-1616,49;-0,18
"FORTALEZA - CE";282341849,63;197529674,79;-84812174,84;-30,04
"IRAUCUBA - CE";3505987,27;3490987,27;-15000,00;-0,43
"SAO PEDRO DO SUACUI - MG";962692,37;958634,37;-4058,00;-0,42
"BRASILIA - DF";119055815,22;299341480,96;180285665,74;151,43
"SAO JOAO DO PACUI - MG";884396,34;878256,34;-6140,00;-0,69
"SAO GABRIEL - RS";4541627,99;4540178,99;-1449,00;-0,03
"MARILIA - SP";14461749,68;14438766,68;-22983,00;-0,16
"SARANDI - RS";2079498,33;2077047,33;-2451,00;-0,12
"SANTA CRUZ DO SUL - RS";11163963,56;11141857,56;-22106,00;-0,20
"CAEM - BA";1692772,45;1684544,45;-8228,00;-0,49
"ELDORADO DOS CARAJAS - PA";3976444,30;3968744,30;-7700,00;-0,19
"IPORA - PR";2470332,47;2467881,47;-2451,00;-0,10
"SAO JORGE D'OESTE - PR";1831540,95;1827648,95;-3892,00;-0,21
"UBA - MG";7399685,50;6835211,49;-564474,01;-7,63
"TIMOTEO - MG";5509298,57;5503907,57;-5391,00;-0,10
"SANTO ANTONIO - RN";2861665,36;2852476,36;-9189,00;-0,32
"MIRASSOL D'OESTE - MT";2021410,99;2000578,99;-20832,00;-1,03
"VICOSA DO CEARA - CE";6041431,83;6037539,83;-3892,00;-0,06
"TUPA - SP";4041521,92;3985970,98;-55550,94;-1,37
"MACAIBA - RN";18342794,24;18326465,24;-16329,00;-0,09
"OURICANGAS - BA";1182496,52;1179168,52;-3328,00;-0,28
"IVOTI - RS";2217952,81;2211316,61;-6636,20;-0,30
"IPECAETA - BA";2624990,78;2621098,78;-3892,00;-0,15
"SARANDI - PR";5472725,79;5248383,24;-224342,55;-4,10
"FAINA - GO";1294762,62;1291434,62;-3328,00;-0,26
"FELIZ NATAL - MT";1437330,92;1427880,92;-9450,00;-0,66
"SAO GABRIEL DA CACHOEIRA - AM";4324042,14;4294042,14;-30000,00;-0,69
"IGUATU - CE";9406960,54;9391960,54;-15000,00;-0,16
"BRAGANCA PAULISTA - SP";9826808,35;9556804,35;-270004,00;-2,75
"CAMPOS DOS GOYTACAZES - RJ";73232774,13;73207786,13;-24988,00;-0,03
"CERES - GO";4168117,61;4167181,61;-936,00;-0,02
"CARAPICUIBA - SP";10269362,10;10246010,10;-23352,00;-0,23
"GUARUJA - SP";16597679,04;16562651,04;-35028,00;-0,21
"JAPOATA - SE";2109347,78;2082747,78;-26600,00;-1,26
"SANTAREM - PA";32655975,81;32647524,81;-8451,00;-0,03
"BAMBUI - MG";2681020,45;2660340,40;-20680,05;-0,77
"PASSO FUNDO - RS";9709389,69;9041659,86;-667729,83;-6,88
"AMERICANA - SP";9722339,55;9664158,55;-58181,00;-0,60
"PRESIDENTE DUTRA - MA";4637589,95;4633689,95;-3900,00;-0,08
"PORTO FELIZ - SP";3916404,88;3906169,88;-10235,00;-0,26
"GARCA - SP";4033439,48;3991940,65;-41498,83;-1,03
"FARROUPILHA - RS";4996049,94;4983049,94;-13000,00;-0,26
"GRANJA - CE";6638728,71;6619836,71;-18892,00;-0,28
"JOAO PESSOA - PB";94285755,24;73944196,61;-20341558,63;-21,57
"FRAIBURGO - SC";2851016,99;2838016,99;-13000,00;-0,46
"SANTO CRISTO - RS";1452943,64;1436214,06;-16729,58;-1,15
"FERNANDOPOLIS - SP";5471711,87;5049921,12;-421790,75;-7,71
"GOUVEIA - MG";1300921,33;1297451,33;-3470,00;-0,27
"CANAA DOS CARAJAS - PA";21656242,74;21652350,74;-3892,00;-0,02
"CAMBUI - MG";2331330,03;2322999,64;-8330,39;-0,36
"QUIXADA - CE";8315784,17;8296892,17;-18892,00;-0,23
"CAMPO GRANDE (EX-AUGUSTO SEVERO) - RN";1308300,80;1282494,80;-25806,00;-1,97
"CARPINA - PE";6869222,24;6863842,24;-5380,00;-0,08
"AGUAS LINDAS DE GOIAS - GO";11163748,44;11152072,44;-11676,00;-0,10
"OTACILIO COSTA - SC";1912347,42;1911024,42;-1323,00;-0,07
"AIURUOCA - MG";1045869,59;1024280,32;-21589,27;-2,06
"ARINOS - MG";2224860,61;2209860,61;-15000,00;-0,67
"CRUZ ALTA - RS";4953515,05;4383412,58;-570102,47;-11,51
"SALINOPOLIS - PA";3761533,99;3752863,99;-8670,00;-0,23
"ENTRE RIOS DE MINAS - MG";1601889,86;1597434,86;-4455,00;-0,28
"CARIACICA - ES";13895915,87;13657830,99;-238084,88;-1,71
"SAO CAITANO - PE";3245070,55;3242619,55;-2451,00;-0,08
"SAO GONCALO DO AMARANTE - RN";8112554,69;8101954,69;-10600,00;-0,13
"CRISTIANO OTONI - MG";885209,88;880189,88;-5020,00;-0,57
"MACAU - RN";4932011,00;4915109,00;-16902,00;-0,34
"PORTO FIRME - MG";1263182,02;1261042,02;-2140,00;-0,17
"ALVARAES - AM";2523403,61;2520910,61;-2493,00;-0,10
"SAO LUIS - MA";157702092,25;117026823,76;-40675268,49;-25,79
"CARAZINHO - RS";5779033,45;5775141,45;-3892,00;-0,07
"IBIRAPITANGA - BA";4425973,13;4419883,13;-6090,00;-0,14
"SANTA BARBARA DO SUL - RS";895668,53;889294,37;-6374,16;-0,71
"MOGI GUACU - SP";9885994,74;9879338,74;-6656,00;-0,07
"CERRO NEGRO - SC";835251,52;834540,52;-711,00;-0,09
"ARTUR NOGUEIRA - SP";3889201,42;3878653,42;-10548,00;-0,27
"IRECE - BA";6925581,75;6921689,75;-3892,00;-0,06
"GOIOXIM - PR";1064663,95;1049663,95;-15000,00;-1,41
"NILOPOLIS - RJ";11649544,12;11633976,12;-15568,00;-0,13
"IRAI - RS";846613,68;843377,96;-3235,72;-0,38
"CACHOEIRO DE ITAPEMIRIM - ES";11813701,16;10756189,46;-1057511,70;-8,95
"LAURO DE FREITAS - BA";14768360,20;14760576,20;-7784,00;-0,05
"BOCAIUVA - MG";3734713,06;3729295,06;-5418,00;-0,15
"JUSSARI - BA";1935938,86;1932610,86;-3328,00;-0,17
"NAO-ME-TOQUE - RS";2093837,62;2092059,17;-1778,45;-0,08
"CLEVELANDIA - PR";1926682,67;1925314,67;-1368,00;-0,07
"ALEGRETE - RS";5591270,97;5379771,41;-211499,56;-3,78
"JESUITAS - PR";969808,73;965916,73;-3892,00;-0,40
"FLORES - PE";2656569,14;2649729,14;-6840,00;-0,26
"SOROCABA - SP";21894943,19;21549542,08;-345401,11;-1,58
"ITAPURANGA - GO";2358412,60;2356855,60;-1557,00;-0,07
"BRASOPOLIS - MG";1606066,14;1593066,14;-13000,00;-0,81
"ORIXIMINA - PA";7478067,44;7458105,44;-19962,00;-0,27
"TAUA - CE";6279449,49;6256899,49;-22550,00;-0,36
"FEIRA DE SANTANA - BA";34570777,67;34235046,72;-335730,95;-0,97
"JAPARAIBA - MG";992665,51;987275,51;-5390,00;-0,54
"BONITO DE MINAS - MG";1488296,98;1474516,98;-13780,00;-0,93
"CARMO DO RIO VERDE - GO";936824,44;930168,44;-6656,00;-0,71
"SALGADO DE SAO FELIX - PB";1949549,22;1933919,22;-15630,00;-0,80
"JACOBINA - BA";8295223,05;8288665,05;-6558,00;-0,08
"CORURIPE - AL";9051982,24;9048090,24;-3892,00;-0,04
"ORIZANIA - MG";996710,61;993430,61;-3280,00;-0,33
"PARACURU - CE";4282954,94;4279062,94;-3892,00;-0,09
"GOIANESIA - GO";5141723,50;5137831,50;-3892,00;-0,08
"CORREGO FUNDO - MG";908499,20;903389,20;-5110,00;-0,56
"BENEVIDES - PA";5760407,68;5721004,68;-39403,00;-0,68
"RAUL SOARES - MG";2561135,65;2548345,65;-12790,00;-0,50
"VARZEA PAULISTA - SP";5884791,52;5877571,52;-7220,00;-0,12
"QUELUZITO - MG";825509,91;823139,91;-2370,00;-0,29
"GLAUCILANDIA - MG";861447,50;858517,50;-2930,00;-0,34
"BARBACENA - MG";11645704,92;11613231,92;-32473,00;-0,28
"BOA ESPERANCA DO IGUACU - PR";1016830,62;1013502,62;-3328,00;-0,33
"SAO GONCALO DO AMARANTE - CE";6676757,89;6672865,89;-3892,00;-0,06
"BENTO GONCALVES - RS";8912352,62;8885344,62;-27008,00;-0,30
"IJUI - RS";6613825,05;5318887,30;-1294937,75;-19,58
"TANGARA DA SERRA - MT";5762789,42;5738909,42;-23880,00;-0,41
"RODRIGUES ALVES - AC";2068666,02;2053666,02;-15000,00;-0,73
"CEARA-MIRIM - RN";6334428,34;6325748,34;-8680,00;-0,14
"SANTA MARIA DA BOA VISTA - PE";4320671,49;4312291,49;-8380,00;-0,19
"CACOAL - RO";4948139,53;4940355,53;-7784,00;-0,16
"CACERES - MT";6005061,28;4726011,65;-1279049,63;-21,30
"PRATA - MG";2752401,49;2737373,49;-15028,00;-0,55
"MAUA - SP";18275180,77;18263504,77;-11676,00;-0,06
"ALAGOA - MG";845062,50;843492,50;-1570,00;-0,19
"JOAO CAMARA - RN";3391368,19;3382208,19;-9160,00;-0,27
"CARUARU - PE";23269275,59;23197622,36;-71653,23;-0,31
"IPIAU - BA";4302271,78;4287271,78;-15000,00;-0,35
"MONTES CLAROS - MG";31179460,30;29520829,80;-1658630,50;-5,32
"ALCANTARA - MA";2744711,89;2736483,89;-8228,00;-0,30
"SERTAOZINHO - SP";8156100,00;8148316,00;-7784,00;-0,10
"JOSE DA PENHA - RN";1887797,94;1883597,94;-4200,00;-0,22
"CAFARNAUM - BA";2853849,24;2849957,24;-3892,00;-0,14
"ILHEUS - BA";16991640,22;16878717,47;-112922,75;-0,66
"IMPERATRIZ - MA";43636621,63;43627181,63;-9440,00;-0,02
"SANTA ROSA - RS";8165389,91;8160612,91;-4777,00;-0,06
"BOA VISTA - RR";94493290,51;70882745,97;-23610544,54;-24,99
"BIGUACU - SC";5499223,83;5485527,83;-13696,00;-0,25
"PIEN - PR";1554119,26;1550227,26;-3892,00;-0,25
"CABROBO - PE";3631261,07;3620722,07;-10539,00;-0,29
"COCOS - BA";2416946,89;2409126,89;-7820,00;-0,32
"ITABUNA - BA";23412687,72;23374895,72;-37792,00;-0,16
"BELFORD ROXO - RJ";17164457,56;17161129,56;-3328,00;-0,02
"JUSSARA - GO";2107576,96;2104248,96;-3328,00;-0,16
"GANDU - BA";3576564,33;3572672,33;-3892,00;-0,11
"ITIUBA - BA";4705711,78;4690711,78;-15000,00;-0,32
"IBITIARA - BA";1867751,46;1852751,46;-15000,00;-0,80
"ASSIS CHATEAUBRIAND - PR";3567663,22;3537663,22;-30000,00;-0,84
"PALHOCA - SC";8849033,82;8830137,82;-18896,00;-0,21
"SANTA BRANCA - SP";1669420,35;1666092,35;-3328,00;-0,20
"POUSO ALTO - MG";954998,73;948138,73;-6860,00;-0,72
"SAO DESIDERIO - BA";5135565,86;5133114,86;-2451,00;-0,05
"CAMPANHA - MG";1635700,47;1631224,47;-4476,00;-0,27
"PARANA - TO";1603095,62;1590095,62;-13000,00;-0,81
"BACURITUBA - MA";1303845,10;1300665,10;-3180,00;-0,24
"UBERABA - MG";19574406,15;19537758,15;-36648,00;-0,19
"BAGE - RS";7115243,48;6758558,30;-356685,18;-5,01
"PACO DO LUMIAR - MA";15063993,97;15050293,97;-13700,00;-0,09
"MORRO DO PILAR - MG";975132,66;969472,66;-5660,00;-0,58
"SALTO DA DIVISA - MG";1079699,03;1076319,03;-3380,00;-0,31
"SAO JERONIMO - RS";2599726,40;2476222,58;-123503,82;-4,75
"SERROLANDIA - BA";1912224,60;1908332,60;-3892,00;-0,20
"CIPO - BA";2524817,92;2520017,92;-4800,00;-0,19
"VILA VELHA - ES";15294611,58;15096149,36;-198462,22;-1,30
"CIANORTE - PR";6867156,18;6856608,18;-10548,00;-0,15
